,Time,Mkt-RF,SMB,HML,RMW,CMA,RF
0,196301,0.6007989760530108,4.377641084084658,1.6153540214447641,-2.4410543822001247,1.3183587470879208,0.25
1,196302,-5.523188922497117,0.006394325485853669,-2.6399822459568543,1.8710981926706929,-1.8912150106638035,0.23
2,196303,-6.283973848265342,-0.3238368405666839,2.386276163429284,-2.419987252526843,2.100095963029494,0.23
3,196304,1.8250222295722767,5.147203426950256,-1.6014365533343313,1.1546389769036824,-1.5662260013354055,0.25
4,196305,2.572272934281766,-0.194981697912122,1.348086403885508,-2.499370894595445,-0.2779869320537688,0.24
5,196306,-5.412950331034468,-0.5121011222603988,1.532540710729862,0.6799923189913792,-4.220996647563971,0.23
0,196307,-0.39,-0.41,-0.97,0.68,-1.18,0.27
1,196308,5.07,-0.8,1.8,0.36,-0.35,0.25
2,196309,-1.57,-0.52,0.13,-0.71,0.29,0.27
3,196310,2.53,-1.39,-0.1,2.8,-2.01,0.29
4,196311,-0.85,-0.88,1.75,-0.51,2.24,0.27
5,196312,1.83,-2.1,-0.02,0.03,-0.07,0.29
6,196401,2.24,0.13,1.48,0.17,1.47,0.3
7,196402,1.54,0.28,2.81,-0.05,0.91,0.26
8,196403,1.41,1.23,3.4,-2.21,3.22,0.31
9,196404,0.1,-1.52,-0.67,-1.27,-1.08,0.29
10,196405,1.42,-0.63,1.86,-0.16,0.17,0.26
11,196406,1.27,0.29,0.62,-0.28,-0.17,0.3
12,196407,1.74,0.5,0.75,0.08,1.91,0.3
13,196408,-1.44,0.41,0.08,0.12,0.35,0.28
14,196409,2.69,-0.34,1.7,-0.56,0.62,0.28
15,196410,0.59,0.87,1.17,-0.43,0.47,0.29
16,196411,0.0,-0.15,-1.96,0.63,-0.26,0.29
17,196412,0.03,-0.69,-2.48,1.07,-1.5,0.31
18,196501,3.54,2.44,0.12,0.91,0.1,0.28
19,196502,0.44,3.31,0.11,0.23,-0.68,0.3
20,196503,-1.34,2.12,1.03,-0.32,0.69,0.36
21,196504,3.11,1.05,0.66,0.3,-2.2,0.31
22,196505,-0.77,0.1,-1.61,-0.45,0.53,0.31
23,196506,-5.51,-4.28,0.59,0.22,0.37,0.35
24,196507,1.43,1.08,2.2,-1.37,0.03,0.31
25,196508,2.73,2.71,-1.0,1.9,-0.74,0.33
26,196509,2.86,0.62,-0.13,-0.89,0.8,0.31
27,196510,2.6,3.47,1.56,1.17,-0.65,0.31
28,196511,-0.03,5.19,0.15,-1.01,-0.94,0.35
29,196512,1.01,2.66,2.03,-1.14,-0.53,0.33
30,196601,0.72,4.68,3.56,-2.82,-0.11,0.38
31,196602,-1.21,4.71,0.33,-0.17,-1.49,0.35
32,196603,-2.51,0.32,-1.98,1.3,0.06,0.38
33,196604,2.14,3.35,-0.46,0.39,-0.95,0.34
34,196605,-5.66,-5.1,-1.63,1.64,-1.52,0.41
35,196606,-1.44,1.37,0.5,0.15,0.78,0.38
36,196607,-1.63,-0.41,0.95,-0.36,1.79,0.35
37,196608,-7.91,-3.12,0.43,-0.09,0.8,0.41
38,196609,-1.06,-1.14,0.56,-1.68,2.37,0.4
39,196610,3.86,-6.45,2.69,-3.48,4.25,0.45
40,196611,1.4,3.34,-4.69,4.13,-6.62,0.4
41,196612,0.13,2.02,-1.19,0.7,-0.34,0.4
42,196701,8.15,9.1,2.27,0.96,-3.16,0.43
43,196702,0.78,3.06,-2.22,1.99,-0.99,0.36
44,196703,3.99,1.87,0.37,0.86,-1.6,0.39
45,196704,3.89,0.43,-2.48,2.33,-3.67,0.32
46,196705,-4.33,2.29,1.09,-1.73,1.73,0.33
47,196706,2.41,6.43,0.85,-0.62,-2.42,0.27
48,196707,4.58,3.54,2.73,0.48,2.7,0.31
49,196708,-0.89,0.72,1.44,0.3,1.45,0.31
50,196709,3.11,2.44,-2.5,0.2,-0.95,0.32
51,196710,-3.09,0.53,-3.3,1.01,-2.62,0.39
52,196711,0.37,-0.04,-1.7,1.34,-2.34,0.36
53,196712,3.05,5.75,-0.53,-0.81,0.13,0.33
54,196801,-4.06,4.51,4.8,-4.62,6.46,0.4
55,196802,-3.75,-2.91,1.28,-0.16,2.45,0.39
56,196803,0.2,-1.59,-0.59,1.05,-1.1,0.38
57,196804,9.05,6.18,-1.13,2.69,-3.65,0.43
58,196805,2.28,7.0,0.85,0.43,-1.92,0.45
59,196806,0.69,-0.28,0.73,-1.41,2.76,0.43
60,196807,-2.72,-1.41,5.39,-3.13,3.72,0.48
61,196808,1.34,2.27,1.01,-0.7,0.48,0.42
62,196809,4.03,2.81,0.3,-1.99,0.87,0.43
63,196810,0.42,-0.42,2.86,-1.32,2.7,0.44
64,196811,5.43,2.39,-0.92,0.43,-2.43,0.42
65,196812,-3.94,3.52,-0.01,-1.86,1.76,0.43
66,196901,-1.25,-0.44,1.67,-1.55,1.38,0.53
67,196902,-5.84,-4.16,0.91,2.07,0.83,0.46
68,196903,2.64,-0.45,-0.51,-1.43,-0.35,0.46
69,196904,1.46,-0.8,-0.03,0.41,0.06,0.53
70,196905,-0.1,-0.11,0.7,-0.95,1.39,0.48
71,196906,-7.18,-5.45,-1.08,4.32,-1.6,0.51
72,196907,-7.0,-3.41,1.2,1.48,1.91,0.53
73,196908,4.68,0.7,-3.79,1.13,-4.02,0.5
74,196909,-2.98,1.29,-3.27,3.39,-0.82,0.62
75,196910,5.06,3.96,-3.16,0.05,-2.15,0.6
76,196911,-3.79,-2.45,-1.19,1.46,0.3,0.52
77,196912,-2.63,-3.76,-2.86,2.54,-1.81,0.64
78,197001,-8.1,3.12,3.13,-1.72,3.84,0.6
79,197002,5.13,-2.76,3.93,-2.29,2.76,0.62
80,197003,-1.06,-2.41,3.99,-1.0,4.29,0.57
81,197004,-11.0,-6.4,6.18,-0.64,6.21,0.5
82,197005,-6.92,-4.48,3.33,-1.21,3.9,0.53
83,197006,-5.79,-2.2,0.6,0.13,2.96,0.58
84,197007,6.93,-0.62,0.9,-0.26,1.84,0.52
85,197008,4.49,1.52,1.15,0.56,-0.21,0.53
86,197009,4.18,8.51,-5.47,0.3,-5.83,0.54
87,197010,-2.28,-4.43,0.22,1.71,2.34,0.46
88,197011,4.6,-3.86,1.69,1.57,1.47,0.46
89,197012,5.72,2.94,1.0,0.27,0.3,0.42
90,197101,4.84,7.54,1.33,-1.99,0.07,0.38
91,197102,1.41,2.04,-1.23,0.62,-0.7,0.33
92,197103,4.13,2.26,-3.95,1.82,-2.71,0.3
93,197104,3.15,-0.36,0.69,-1.47,0.87,0.28
94,197105,-3.98,-1.11,-1.44,1.4,0.25,0.29
95,197106,-0.1,-1.48,-1.87,1.53,-1.64,0.37
96,197107,-4.5,-1.39,0.02,0.64,1.46,0.4
97,197108,3.79,-0.16,2.63,-0.43,2.64,0.47
98,197109,-0.85,0.28,-2.91,2.56,-1.58,0.37
99,197110,-4.42,-1.6,-0.48,1.62,-1.35,0.37
100,197111,-0.46,-2.86,-1.68,2.44,-0.34,0.37
101,197112,8.71,3.27,-0.4,-0.4,-1.75,0.37
102,197201,2.49,6.1,2.24,-1.69,0.55,0.29
103,197202,2.87,0.87,-2.79,1.61,-0.52,0.25
