Date,Open,High,Low,Close,Adj Close,Volume
1986-02-01,2.090000,2.200000,2.070000,2.200000,0.125324,0
1986-03-01,2.210000,2.240000,2.200000,2.240000,0.130969,0
1986-04-01,2.240000,2.290000,2.230000,2.230000,0.130384,0
1986-05-01,2.170000,2.190000,2.160000,2.160000,0.126291,0
1986-06-01,2.150000,2.190000,2.130000,2.190000,0.131283,0
1986-07-01,2.190000,2.200000,2.160000,2.160000,0.129485,0
1986-08-01,2.110000,2.240000,2.100000,2.240000,0.134281,0
1986-09-01,2.260000,2.270000,2.220000,2.250000,0.138404,0
1986-10-01,2.250000,2.270000,2.240000,2.270000,0.139634,0
1986-11-01,2.200000,2.250000,2.200000,2.240000,0.137789,0
1986-12-01,2.240000,2.250000,2.230000,2.240000,0.141211,0
1987-01-01,2.250000,2.350000,2.250000,2.340000,0.147515,0
1987-02-01,2.300000,2.320000,2.280000,2.320000,0.146254,0
1987-03-01,2.320000,2.420000,2.320000,2.410000,0.155584,0
1987-04-01,2.390000,2.410000,2.340000,2.370000,0.153002,0
1987-05-01,2.310000,2.320000,2.270000,2.280000,0.147192,0
1987-06-01,2.270000,2.300000,2.270000,2.300000,0.152011,0
1987-07-01,2.300000,2.350000,2.300000,2.340000,0.154654,0
1987-08-01,2.290000,2.300000,2.270000,2.290000,0.151350,0
1987-09-01,2.280000,2.280000,2.220000,2.220000,0.150255,0
1987-10-01,2.220000,2.220000,2.100000,2.130000,0.144164,0
1987-11-01,2.060000,2.120000,2.050000,2.110000,0.142810,0
1987-12-01,2.110000,2.110000,2.070000,2.110000,0.146595,0
1988-01-01,2.130000,2.200000,2.130000,2.200000,0.152848,0
1988-02-01,2.160000,2.180000,2.150000,2.180000,0.151459,0
1988-03-01,2.180000,2.190000,2.160000,2.160000,0.153917,0
1988-04-01,2.160000,2.170000,2.140000,2.160000,0.153917,0
1988-05-01,2.090000,2.120000,2.090000,2.120000,0.151067,0
1988-06-01,2.130000,2.160000,2.130000,2.150000,0.157207,0
1988-07-01,2.150000,2.170000,2.120000,2.160000,0.157938,0
1988-08-01,2.110000,2.110000,2.080000,2.100000,0.153551,0
1988-09-01,2.090000,2.110000,2.090000,2.110000,0.158314,0
1988-10-01,2.120000,2.140000,2.120000,2.140000,0.160564,0
1988-11-01,2.070000,2.080000,2.050000,2.060000,0.154562,0
1988-12-01,2.060000,2.070000,2.050000,2.060000,0.158639,0
1989-01-01,2.060000,2.120000,2.060000,2.120000,0.163260,0
1989-02-01,2.060000,2.080000,2.060000,2.070000,0.159409,0
1989-03-01,2.070000,2.090000,2.070000,2.070000,0.163655,0
1989-04-01,2.080000,2.100000,2.070000,2.090000,0.165236,0
1989-05-01,2.040000,2.080000,2.030000,2.080000,0.164446,0
1989-06-01,2.080000,2.130000,2.080000,2.130000,0.172950,0
1989-07-01,2.130000,2.170000,2.130000,2.170000,0.176198,0
1989-08-01,2.110000,2.120000,2.110000,2.110000,0.171326,0
1989-09-01,2.110000,2.120000,2.100000,2.110000,0.175782,0
1989-10-01,2.110000,2.110000,2.070000,2.070000,0.172449,0
1989-11-01,2.020000,2.030000,2.000000,2.030000,0.169117,0
1989-12-01,2.040000,2.070000,2.040000,2.070000,0.177156,0
1990-01-01,2.070000,2.090000,2.030000,2.030000,0.173733,0
1990-02-01,1.980000,2.000000,1.950000,1.960000,0.167742,0
1990-03-01,1.960000,1.980000,1.960000,1.970000,0.173293,0
1990-04-01,1.960000,2.090000,1.940000,1.940000,0.170654,0
1990-05-01,1.890000,1.960000,1.890000,1.950000,0.171534,0
1990-06-01,1.960000,1.980000,1.960000,1.980000,0.179255,0
1990-07-01,1.980000,2.020000,1.970000,2.020000,0.182876,0
1990-08-01,1.970000,1.970000,1.850000,1.860000,0.168391,0
1990-09-01,1.850000,1.860000,1.760000,1.760000,0.163797,0
1990-10-01,1.770000,1.770000,1.670000,1.670000,0.155421,0
1990-11-01,1.670000,1.670000,1.630000,1.670000,0.155421,0
1990-12-01,1.670000,1.710000,1.660000,1.680000,0.161677,0
1991-01-01,1.680000,1.720000,1.630000,1.720000,0.165526,0
1991-02-01,1.680000,1.840000,1.680000,1.840000,0.177074,0
1991-03-01,1.850000,1.900000,1.840000,1.900000,0.188889,0
1991-04-01,1.890000,1.980000,1.890000,1.970000,0.195848,0
1991-05-01,1.920000,1.960000,1.920000,1.960000,0.194854,0
1991-06-01,1.970000,1.980000,1.950000,1.960000,0.200450,0
1991-07-01,1.960000,2.040000,1.960000,2.040000,0.208631,0
1991-08-01,1.980000,2.040000,1.980000,2.040000,0.208631,0
1991-09-01,2.040000,2.080000,2.040000,2.080000,0.218616,0
1991-10-01,2.090000,2.140000,2.090000,2.140000,0.224923,0
1991-11-01,2.070000,2.100000,2.070000,2.080000,0.218616,0
1991-12-01,2.090000,2.110000,2.050000,2.110000,0.227619,0
1992-01-01,2.120000,2.200000,2.120000,2.180000,0.235171,0
1992-02-01,2.140000,2.230000,2.140000,2.190000,0.236250,0
1992-03-01,2.180000,2.200000,2.170000,2.200000,0.242900,0
1992-04-01,2.200000,2.250000,2.190000,2.240000,0.247316,0
1992-05-01,2.190000,2.240000,2.190000,2.240000,0.247316,0
1992-06-01,2.240000,2.260000,2.240000,2.260000,0.255221,0
1992-07-01,2.260000,2.310000,2.260000,2.310000,0.260867,0
1992-08-01,2.260000,2.260000,2.250000,2.260000,0.255221,0
1992-09-01,2.260000,2.260000,2.240000,2.250000,0.259713,0
1992-10-01,2.250000,2.250000,2.220000,2.230000,0.257405,0
1992-11-01,2.170000,2.180000,2.160000,2.180000,0.251633,0
1992-12-01,2.180000,2.210000,2.180000,2.210000,0.260947,0
1993-01-01,2.210000,2.280000,2.210000,2.280000,0.269212,0
1993-02-01,2.230000,2.290000,2.230000,2.290000,0.270393,0
1993-03-01,2.290000,2.340000,2.290000,2.340000,0.281860,0
1993-04-01,2.330000,2.350000,2.310000,2.350000,0.283064,0
1993-05-01,2.340000,2.370000,2.340000,2.370000,0.287315,0
1993-06-01,2.360000,2.400000,2.350000,2.400000,0.292821,0
1993-07-01,2.400000,2.440000,2.400000,2.440000,0.299597,0
1993-08-01,2.420000,2.450000,2.410000,2.450000,0.302717,0
1993-09-01,2.440000,2.460000,2.440000,2.460000,0.305833,0
1993-10-01,2.450000,2.500000,2.450000,2.490000,0.311470,0
1993-11-01,2.470000,2.470000,2.440000,2.450000,0.308347,0
1993-12-01,2.410000,2.460000,2.410000,2.460000,0.311481,0
1994-01-01,2.450000,2.470000,2.450000,2.470000,0.314674,0
1994-02-01,2.450000,2.460000,2.390000,2.400000,0.307632,0
1994-03-01,2.380000,2.380000,2.290000,2.290000,0.295326,0
1994-04-01,2.250000,2.270000,2.230000,2.270000,0.294588,0
1994-05-01,2.260000,2.260000,2.200000,2.240000,0.292611,0
1994-06-01,2.220000,2.250000,2.210000,2.210000,0.290613,0
1994-07-01,2.200000,2.230000,2.200000,2.230000,0.295219,0
1994-08-01,2.220000,2.250000,2.220000,2.250000,0.299903,0
1994-09-01,2.230000,2.230000,2.210000,2.220000,0.297908,0
1994-10-01,2.200000,2.220000,2.190000,2.210000,0.298556,0
1994-11-01,2.190000,2.190000,2.160000,2.170000,0.295147,0
1994-12-01,2.120000,2.130000,2.090000,2.100000,0.287578,0
1995-01-01,2.090000,2.110000,2.060000,2.110000,0.290958,0
1995-02-01,2.100000,2.130000,2.100000,2.130000,0.295839,0
1995-03-01,2.110000,2.140000,2.080000,2.140000,0.299357,0
1995-04-01,2.130000,2.180000,2.130000,2.180000,0.307115,0
1995-05-01,2.170000,2.240000,2.170000,2.240000,0.317795,0
1995-06-01,2.230000,2.260000,2.210000,2.250000,0.321425,0
1995-07-01,2.240000,2.270000,2.240000,2.260000,0.325031,0
1995-08-01,2.240000,2.270000,2.240000,2.270000,0.328660,0
