Date,Open,High,Low,Close,Adj Close,Volume
1987-11-01,2.113000,2.113000,1.943000,1.943000,0.283228,0
1987-12-01,1.951000,2.084000,1.875000,2.063000,0.300720,0
1988-01-01,2.114000,2.151000,2.053000,2.141000,0.312090,0
1988-02-01,2.134000,2.339000,2.129000,2.339000,0.340952,0
1988-03-01,2.331000,2.412000,2.324000,2.324000,0.338766,0
1988-04-01,2.317000,2.422000,2.299000,2.318000,0.337891,0
1988-05-01,2.314000,2.325000,2.240000,2.313000,0.337162,0
1988-06-01,2.347000,2.412000,2.341000,2.411000,0.351448,0
1988-07-01,2.398000,2.423000,2.356000,2.421000,0.352905,0
1988-08-01,2.430000,2.452000,2.334000,2.394000,0.348970,0
1988-09-01,2.375000,2.568000,2.375000,2.568000,0.374333,0
1988-10-01,2.571000,2.819000,2.571000,2.718000,0.396199,0
1988-11-01,2.715000,2.715000,2.495000,2.604000,0.379581,0
1988-12-01,2.591000,2.624000,2.568000,2.614000,0.381039,0
1989-01-01,2.591000,2.717000,2.591000,2.717000,0.403470,0
1989-02-01,2.707000,2.726000,2.639000,2.655000,0.394263,0
1989-03-01,2.652000,2.768000,2.652000,2.768000,0.411044,0
1989-04-01,2.816000,2.920000,2.804000,2.920000,0.433615,0
1989-05-01,2.911000,3.026000,2.878000,3.014000,0.447574,0
1989-06-01,3.043000,3.229000,3.031000,3.101000,0.460494,0
1989-07-01,3.106000,3.390000,3.106000,3.390000,0.503409,0
1989-08-01,3.350000,3.427000,3.310000,3.403000,0.505340,0
1989-09-01,3.417000,3.417000,3.237000,3.339000,0.495836,0
1989-10-01,3.362000,3.437000,3.082000,3.115000,0.462572,0
1989-11-01,3.135000,3.192000,3.074000,3.192000,0.474007,0
1989-12-01,3.227000,3.245000,2.810000,2.899000,0.430497,0
1990-01-01,2.929000,2.933000,2.594000,2.637000,0.433950,0
1990-02-01,2.637000,2.703000,2.604000,2.652000,0.436418,0
1990-03-01,2.662000,2.758000,2.662000,2.711000,0.446127,0
1990-04-01,2.712000,2.754000,2.659000,2.688000,0.442342,0
1990-05-01,2.694000,2.863000,2.694000,2.862000,0.470976,0
1990-06-01,2.867000,2.901000,2.764000,2.775000,0.456659,0
